metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
http_req_duration,trend,192.51688544176696,41.3363,119.79984999999999,1134.1138,441.3827000000005,591.563145,776.0372129999996,,,,
http_req_connecting,trend,0.007965110441767068,0,0,4.6159,0,0,0,,,,
http_req_waiting,trend,191.36448107429717,37.8639,118.20925,1131.174,435.99471000000017,590.8324,775.9792259999996,,,,
checks,rate,,,,,,,,,1,6723,0
iteration_duration,trend,2949.6695465863468,2361.4129,2998.4443,3760.1932,3228.20242,3270.3498600000003,3507.870092,,,,
http_500_count,counter,,,,,,,,0,0,,
http_req_duration{expected_response:true},trend,192.51688544176696,41.3363,119.79984999999999,1134.1138,441.3827000000005,591.563145,776.0372129999996,,,,
missing_attendance,rate,,,,,,,,,0,0,249
vus,gauge,,0,,10,,,,,,,
data_received,counter,,,,,,,,13790280,163124.0171482185,,
login_duration,trend,159.65213333333338,106.1823,145.5809,943.8436,195.89496,221.98143999999996,583.7611160000006,,,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
workflow_duration,trend,2949.6546184738954,2362,2998,3760,3228.2000000000003,3270.4,3507.8,,,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,249
http_req_failed,rate,,,,,,,,,0,0,1992
http_reqs,counter,,,,,,,,1992,23.563193942345713,,
teacher_workflow_success,rate,,,,,,,,,1,249,0
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
race_condition_detected,rate,,,,,,,,,0,0,0
vus_max,gauge,,10,,10,,,,,,,
http_req_blocked,trend,0.011361345381526106,0,0,4.6159,0,0,0.3867749999999969,,,,
http_req_receiving,trend,1.1312386546184754,0,0.53525,13.863,3.1791300000000007,4.926289999999991,8.96169199999999,,,,
group_duration,trend,173.2305778614458,0,78.01715,1135.1328,434.37462000000005,589.35696,775.247132,,,,
http_req_sending,trend,0.02116571285140562,0,0,2.0463,0,0,0.6488869999999997,,,,
data_sent,counter,,,,,,,,1348748,15954.222240638,,
iterations,counter,,,,,,,,249,2.945399242793214,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
partial_attendance_save,rate,,,,,,,,,0,0,249
