metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
data_received,counter,,,,,,,,14733619,168792.11786001432,,
workflow_duration,trend,13922.420664206642,2660,14975,17955,16122,16962.5,17104.100000000002,,,,
http_500_count,counter,,,,,,,,0,0,,
checks,rate,,,,,,,,,1,7355,0
iterations,counter,,,,,,,,271,3.1046455008822935,,
http_req_blocked,trend,0.053740321100917435,0,0,5.3009,0,0,1.7843340000000008,,,,
http_req_receiving,trend,0.7492611926605505,0,0.50315,12.7959,1.8900000000000015,2.789719999999993,5.2337140000000035,,,,
http_req_failed,rate,,,,,,,,,0,0,2180
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
race_condition_detected,rate,,,,,,,,,0,0,0
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
duplicate_attendance_detected,rate,,,,,,,,,0,0,272
partial_attendance_save,rate,,,,,,,,,0,0,272
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
vus_max,gauge,,50,,50,,,,,,,
teacher_workflow_success,rate,,,,,,,,,1,271,0
vus,gauge,,2,,50,,,,,,,
iteration_duration,trend,13922.510031365302,2659.6763,14974.3059,17954.4848,16121.3517,16962.9676,17104.03373,,,,
http_req_duration,trend,1564.3524676605498,48.8019,873.42985,6755.754,3911.0678800000005,4610.097865,5585.431085000001,,,,
http_req_sending,trend,0.03711683486238533,0,0,9.341,0,0.3162799999999974,0.683947,,,,
http_req_connecting,trend,0.04051610091743121,0,0,5.3009,0,0,1.671791000000002,,,,
group_duration,trend,1447.2519817431187,0,832.4091000000001,6755.754,3912.4814200000005,4610.097865,5585.538920000001,,,,
missing_attendance,rate,,,,,,,,,0,0,272
http_req_waiting,trend,1563.566089633024,45.8606,872.2626,6753.6244,3910.9930400000007,4608.30858,5583.847363000001,,,,
login_duration,trend,940.9224853479851,171.9473,1051.6793,1943.4823,1186.11348,1248.2259399999998,1332.443343999999,,,,
http_req_duration{expected_response:true},trend,1564.3524676605498,48.8019,873.42985,6755.754,3911.0678800000005,4610.097865,5585.431085000001,,,,
http_reqs,counter,,,,,,,,2180,24.97463908458819,,
data_sent,counter,,,,,,,,1540595,17649.451422257407,,
