metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
http_req_sending,trend,0.04532175000000001,0,0,1.7477,0,0.5103,1.0139,,,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,50
http_500_count,counter,,,,,,,,0,0,,
http_req_connecting,trend,0.3829807500000003,0,0,3.6917,1.5306,2.3462,3.1787,,,,
iterations,counter,,,,,,,,50,0.43273034776891944,,
http_req_duration,trend,158.18717450000005,0.3034,30.44475,825.6435,648.2959500000003,701.8595499999999,779.0478079999997,,,,
http_req_waiting,trend,157.34294224999988,0.3034,28.972900000000003,823.2012,646.4220100000003,700.5029449999998,778.5391479999997,,,,
vus_max,gauge,,50,,50,,,,,,,
teacher_workflow_success,rate,,,,,,,,,1,50,0
race_condition_detected,rate,,,,,,,,,0,0,0
http_req_duration{expected_response:true},trend,158.18717450000005,0.3034,30.44475,825.6435,648.2959500000003,701.8595499999999,779.0478079999997,,,,
http_req_receiving,trend,0.7989104999999996,0,0.1504,10.5535,2.32687,3.2976499999999995,6.418198999999996,,,,
http_reqs,counter,,,,,,,,400,3.4618427821513555,,
missing_attendance,rate,,,,,,,,,0,0,50
iteration_duration,trend,115287.90962399996,114948.3662,115279.9938,115544.8554,115531.48774000001,115540.04867,115543.617268,,,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
http_req_failed,rate,,,,,,,,,0,0,400
checks,rate,,,,,,,,,1,1350,0
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
group_duration,trend,9868.031618500007,0,10.501850000000001,78161.1133,78041.71663,78103.35321,78151.410838,,,,
workflow_duration,trend,115287.68,114948,115280,115544,115531.6,115539.65,115543.02,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
http_req_blocked,trend,0.7424609999999997,0,0,7.8183,3.6917,4.328449999999982,7.201466999999999,,,,
data_sent,counter,,,,,,,,271584,2350.4527753694842,,
login_duration,trend,335.253716,187.2381,333.65,507.7991,464.42181,487.97156499999994,506.51446699999997,,,,
vus,gauge,,50,,50,,,,,,,
partial_attendance_save,rate,,,,,,,,,0,0,50
data_received,counter,,,,,,,,2398462,20757.74590741076,,
