metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
http_500_count,counter,,,,,,,,0,0,,
checks,rate,,,,,,,,,0.15552713793159267,19216,104338
data_sent,counter,,,,,,,,14916609,88243.4557611937,,
missing_attendance,rate,,,,,,,,,0,0,444
http_req_connecting,trend,0.0011659430122116685,0,0,4.8195,0,0,0,,,,
vus_max,gauge,,50,,50,,,,,,,
race_condition_detected,rate,,,,,,,,,0,0,0
http_req_duration,trend,99.55127395359162,0,39.8926,1658.923,240.49606000000043,545.5226699999994,927.3670759999995,,,,
iterations,counter,,,,,,,,52891,312.8917985760233,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
http_req_blocked,trend,0.00727035535784827,0,0,7.645,0,0,0.5082,,,,
auth_failures,counter,,,,,,,,51891,306.97601330866166,,
vus,gauge,,1,,50,,,,,,,
http_req_sending,trend,0.032923796437833844,0,0,16.975,0,0.4781399999999616,0.6571,,,,
data_received,counter,,,,,,,,101358417,599614.6300116953,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
http_req_receiving,trend,0.2053479071844463,0,0,22.6982,0.5775800000000003,0.8043,2.227105999999997,,,,
group_duration,trend,96.53235807499998,0,29.18375,1094.4395,291.2916600000001,406.3063249999994,662.3022370000003,,,,
iteration_duration,trend,136.5079659790889,1.1803,39.1973,4489.0112,255.8289,707.6695,2329.516519999999,,,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
login_duration,trend,95.04551344274113,0,38.9203,1658.923,153.7278,557.3086000000001,957.6741099999991,,,,
http_reqs,counter,,,,,,,,58223,344.43476562159543,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,444
teacher_workflow_success,rate,,,,,,,,,0.008394622903707625,444,52447
http_req_duration{expected_response:true},trend,151.6296779258999,0.6939,104.02940000000001,1093.927,362.53785000000005,477.8742,691.7895000000001,,,,
partial_attendance_save,rate,,,,,,,,,0,0,444
workflow_duration,trend,2396.116,1541,2366.5,4489,3060.6000000000004,3221.3999999999996,3619.06,,,,
http_req_failed,rate,,,,,,,,,0.9007952183844873,52447,5776
http_req_waiting,trend,99.31300224996919,0,39.6775,1658.923,239.74872000000067,545.3952599999997,926.5360859999996,,,,
